Date,Price,Open,High,Low,Vol.,Change %
10/30/23,349.02,347.65,350.36,346.27,55.30M,1.13%
10/31/23,350.69,349.05,351.07,346.44,47.67M,0.48%
11/1/23,356.77,351.54,357.34,351.44,58.99M,1.74%
11/2/23,363.25,361.35,363.49,360.11,58.16M,1.82%
11/3/23,367.52,364.56,368.83,364.33,53.28M,1.17%
11/6/23,369.02,368.3,369.59,366.72,38.85M,0.41%
11/7/23,372.5,370.08,373.38,368.85,50.78M,0.95%
11/8/23,372.74,372.88,373.59,370.43,35.66M,0.06%
11/9/23,369.88,373.44,374.6,369.38,53.86M,-0.77%
11/10/23,378.19,371.62,378.34,371.09,58.37M,2.25%
11/13/23,377.01,376.59,378.08,375.04,40.73M,-0.31%
11/14/23,385.13,383.51,386.06,382.98,67.79M,2.15%
11/15/23,385.42,387.05,387.55,384.03,54.14M,0.08%
11/16/23,385.75,384.64,385.99,383.36,45.34M,0.09%
11/17/23,385.84,385.01,386.87,384.09,46.62M,0.02%
11/20/23,390.53,385.85,391.2,385.85,44.54M,1.22%
11/21/23,388.27,388.81,389.03,386.5,43.34M,-0.58%
11/22/23,389.86,390.36,392.86,388.84,44.18M,0.41%
11/24/23,389.31,389.45,390.05,388.3,15.72M,-0.14%
11/27/23,388.97,388.81,390.94,388.08,34.14M,-0.09%
11/28/23,389.99,388.21,390.57,387.85,35.49M,0.26%
11/29/23,389.61,392.48,393.93,389.26,38.81M,-0.10%
11/30/23,388.63,389.88,390.35,385.62,52.83M,-0.25%
12/1/23,389.74,387.55,390.33,385.87,40.49M,0.29%
12/4/23,386.12,385.89,386.39,382.46,51.19M,-0.93%
12/5/23,387.09,384.19,388.3,384.01,42.93M,0.25%
12/6/23,384.85,390.07,390.17,384.5,41.99M,-0.58%
12/7/23,390.23,387.87,391.06,386.76,49.59M,1.40%
12/8/23,391.96,388.47,392.41,388.28,46.69M,0.45%
12/11/23,395.31,391.53,395.58,391.32,41.20M,0.85%
12/12/23,398.46,395.35,398.58,394.2,39.22M,0.80%
12/13/23,403.53,399.41,404.15,398.63,55.41M,1.27%
12/14/23,403.18,404.77,406.09,400.13,55.45M,-0.09%
12/15/23,405.13,403.97,406.33,403.36,62.90M,0.48%
12/18/23,406.87,404.72,407.78,404.39,46.61M,0.43%
12/19/23,408.95,407.33,409.07,407.13,35.71M,0.51%
12/20/23,402.87,408.14,410.25,402.69,54.04M,-1.49%
12/21/23,407.56,406.85,407.93,404.26,45.57M,1.16%
12/22/23,408.17,408.79,409.75,406.27,34.31M,0.15%
12/26/23,410.66,409.04,411.34,408.94,22.72M,0.61%
12/27/23,411.5,410.95,411.79,410.08,31.98M,0.20%
12/28/23,411.3,412.67,412.92,410.94,27.03M,-0.05%
12/29/23,409.52,411.28,411.64,407.58,42.66M,-0.43%
1/2/24,402.59,405.84,406.09,400.24,58.03M,-1.69%
1/3/24,398.33,399.93,401,397.89,47.00M,-1.06%
1/4/24,396.28,396.44,399.59,396.06,39.43M,-0.51%
1/5/24,396.75,396.45,399.56,395.34,44.92M,0.12%
1/8/24,404.95,397.99,405.24,397.84,42.47M,2.07%
1/9/24,405.75,401.91,406.69,401.71,39.13M,0.20%
1/10/24,408.5,406.07,409.52,405.17,33.96M,0.68%
1/11/24,409.35,409.79,411.2,404.24,54.54M,0.21%
1/12/24,409.56,410.4,411.25,408.15,39.59M,0.05%
1/16/24,409.52,408.31,411.12,406.83,43.90M,-0.01%
1/17/24,407.21,406.17,407.58,402.92,54.39M,-0.56%
1/18/24,412.99,410.52,413.58,409.16,59.56M,1.42%
1/19/24,421.18,415.22,421.34,414.63,70.33M,1.98%
