city,date,pm25,pm10,o3,no2,so2,co
bangkok,10/1/2024,51,19, , , , 
bangkok,10/2/2024,44,24, , , , 
bangkok,10/3/2024,51,19, , , , 
bangkok,10/4/2024,52,34, , , , 
bangkok,10/5/2024,77,45, , , , 
bangkok,10/6/2024,88,39, , , , 
bangkok,10/7/2024,71,56, , , , 
bangkok,10/8/2024,55,22, , , , 
bangkok,10/9/2024,63,37, , , , 
bangkok,10/10/2024,83,30, , , , 
bangkok,10/11/2024,74,40, , , , 
bangkok,10/12/2024,91,23, , , , 
bangkok,10/13/2024,66,27, , , , 
bangkok,10/14/2024,74,33, , , , 
bangkok,10/15/2024,92,30, , , , 
bangkok,10/16/2024,80,31, , , , 
bangkok,10/17/2024,92,45, , , , 
bangkok,10/18/2024,66,51, , , , 
bangkok,10/19/2024,44,44, , , , 
bangkok,10/20/2024,33,23, , , , 
bangkok,10/21/2024,60,30, , , , 
bangkok,10/22/2024,73,28, , , , 
bangkok,10/23/2024,69,41, , , , 
bangkok,10/24/2024,93,45, , , , 
bangkok,10/25/2024,122,38, , , , 
bangkok,10/26/2024,77, , , , , 
bangkok,7/1/2024,46,23,7,1, , 
bangkok,7/2/2024,54,23,7, , , 
bangkok,7/3/2024,56,23,9, , , 
bangkok,7/4/2024,59,17,1, , , 
bangkok,7/5/2024,43,31,6, , , 
bangkok,7/6/2024,61,20,10, , , 
bangkok,7/7/2024,53,19,11, , , 
bangkok,7/8/2024,53,22,4, , , 
bangkok,7/9/2024,59,20,6, , , 
bangkok,7/10/2024,54,25,5, , , 
bangkok,7/11/2024,56,23,6, , , 
bangkok,7/12/2024,51,27,8, , , 
bangkok,7/13/2024,62,24,9, , , 
bangkok,7/14/2024,56,26,8, , , 
bangkok,7/15/2024,59,24,6,1, , 
bangkok,7/16/2024,56,24,6, , , 
bangkok,7/17/2024,50,20,6, , , 
bangkok,7/18/2024,50,16,6, , , 
bangkok,7/19/2024,48,19,7, , , 
bangkok,7/20/2024,50,22,8, , , 
bangkok,7/21/2024,59,34,8, , , 
bangkok,7/22/2024,67,33,8, , , 
bangkok,7/23/2024,69,17,8, , , 
bangkok,7/24/2024,44,21,9, , , 
bangkok,7/25/2024,51,25,9, , , 
bangkok,7/26/2024,58,22,8, , , 
bangkok,7/27/2024,54,15,9, , , 
bangkok,7/28/2024,45,12,7, , , 
bangkok,7/29/2024,25,17,6, , , 
bangkok,7/30/2024,50,17,8, , , 
bangkok,7/31/2024,50,21,6, , , 
bangkok,8/1/2024,52,28,7, , , 
bangkok,8/2/2024,67,24,6, , , 
bangkok,8/3/2024,60,29, , , , 
bangkok,8/4/2024,57,19,9, , , 
bangkok,8/5/2024,48,25,11, , , 
bangkok,8/6/2024,61,18,11, , , 
bangkok,8/7/2024,53,26,11, , , 
bangkok,8/8/2024,65,24,10, , , 
bangkok,8/9/2024,57,21,8, ,1, 
bangkok,8/10/2024,51,19,7, ,2, 
bangkok,8/11/2024,46,16,9, ,3, 
bangkok,8/12/2024,44,20,8, ,3, 
bangkok,8/13/2024,52,28,10, ,5, 
bangkok,8/14/2024,67,24,10, ,5, 
bangkok,8/15/2024,54,21,8, ,7, 
bangkok,8/16/2024,53,17,6,1,8, 
bangkok,8/17/2024,46,20,11, ,9, 
bangkok,8/18/2024,51,19,10, ,10, 
bangkok,8/19/2024,48,21,6, ,11, 
bangkok,8/20/2024,56,33,6, ,12, 
bangkok,8/21/2024,52,28,10, ,12, 
bangkok,8/22/2024,58,26,9, ,27, 
bangkok,8/23/2024,51,25,8, ,19, 
bangkok,8/24/2024,59,19,10, ,17, 
bangkok,8/25/2024,53,21,10, ,18, 
bangkok,8/26/2024,51,16,10, ,21, 
bangkok,8/27/2024,52,18,10, ,23, 
