YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1857,M,M,M,M,M,M,6.00,3.80,1.25,M,M,3.83,14.88
1858,1.80,2.40,1.10,2.44,2.30,4.60,M,M,M,M,M,M,14.64
1869,1.80,3.70,3.70,3.60,3.85,6.40,1.50,1.90,1.50,1.80,2.30,5.60,37.65
1870,3.50,2.30,4.50,2.60,6.94,2.90,5.70,3.80,2.00,2.00,1.80,2.50,40.54
1871,1.13,5.90,5.30,3.50,3.60,4.10,3.20,7.40,2.40,2.80,2.20,0.20,41.73
1872,1.10,1.60,1.70,2.13,2.00,3.70,4.20,5.60,2.20,2.70,1.60,4.40,32.93
1873,3.50,9.60,3.30,1.80,5.30,2.00,1.10,4.50,2.10,0.90,4.50,2.50,41.10
1874,3.00,3.60,2.60,7.60,2.70,3.70,11.40,3.40,2.80,2.00,3.60,1.90,48.30
1875,6.20,6.20,8.60,4.30,1.40,1.90,5.10,5.80,2.30,0.70,1.60,3.70,47.80
1876,2.80,2.40,3.90,2.56,6.10,7.50,4.10,3.91,2.13,1.99,1.91,1.84,41.14
1877,1.56,0.63,2.87,6.87,1.48,5.57,5.17,2.30,1.50,5.75,6.01,3.26,42.97
1878,3.50,3.65,2.38,4.32,2.82,5.18,4.49,3.94,3.81,4.50,4.00,2.70,45.29
1879,3.49,1.25,1.64,2.64,2.51,1.37,4.50,5.10,0.70,7.00,1.75,5.43,37.38
1880,1.07,1.48,6.60,M,M,M,M,M,M,M,M,M,9.15
1884,M,M,M,M,M,M,M,M,M,M,1.20,2.92,4.12
1885,4.32,1.55,M,1.01,3.79,2.33,M,M,M,8.34,4.80,3.60,29.74
1887,2.18,2.71,0.60,2.02,4.13,1.40,2.65,1.19,M,1.80,0.37,2.07,21.12
1888,0.94,1.75,0.00,0.02,6.47,1.49,4.40,2.42,10.94,3.57,3.75,2.74,38.49
1889,2.59,1.68,0.43,1.45,5.47,4.77,5.39,5.81,4.28,0.49,4.72,0.97,38.05
1890,1.42,5.30,2.50,3.93,4.44,1.13,5.86,6.78,3.86,3.77,0.29,2.44,41.72
1891,4.45,8.13,6.54,1.86,5.09,2.75,5.67,7.86,3.25,0.78,3.60,3.25,53.23
1892,6.52,1.47,3.03,6.01,2.76,7.03,4.93,1.64,3.05,0.26,3.94,1.60,42.24
1893,3.29,4.74,2.99,1.55,3.80,3.91,2.12,6.24,7.42,5.36,3.89,1.19,46.50
1894,2.44,3.81,1.56,1.21,3.19,2.99,4.94,3.73,3.08,2.68,0.54,4.10,34.27
1895,4.92,1.70,3.95,4.04,4.90,2.33,2.32,5.03,0.85,0.21,2.78,3.78,36.81
1896,3.38,2.84,1.92,2.50,4.11,4.46,6.64,0.87,3.87,0.87,5.57,0.84,37.87
1897,1.75,6.35,6.03,3.81,3.59,6.09,4.40,3.20,0.54,2.70,1.37,3.23,43.06
1898,3.60,0.37,2.95,3.42,3.04,6.01,6.07,1.65,6.05,5.99,1.84,2.51,43.50
1899,2.17,7.34,9.04,2.86,1.96,3.35,3.33,2.87,1.98,1.39,1.35,3.01,40.65
